atuqe[V][Trns_Ind][1Sg][2Sg]	atuqamken
inghu[V][Trns_Ind][3Pl][3Pl]	inghwiit
inghu[V][Trns_Ind][3Pl][3Sg]	inghwaat
inghu[V][Trns_Ind][3Sg][1Sg]	inghwaanga
inghu[V][Trns_Ind][3Sg][2Sg]	inghwaaten
inghu[V][Trns_Ind][3Sg][3Pl]	inghwii
inghu[V][Trns_Ind][3Sg][3Sg]	inghwaa
kuuve[V][Trns_Ind][1Sg][2Sg]	kuuvamken
kuuve[V][Trns_Ind][1Sg][3Pl]	kuuvanka
kuuve[V][Trns_Ind][1Sg][3Sg]	kuuvaqa
kuuve[V][Trns_Ind][2Sg][1Sg]	kuuvaghpenga
kuuve[V][Trns_Ind][2Sg][3Pl]	kuuvaten
kuuve[V][Trns_Ind][2Sg][3Sg]	kuuvan
kuuve[V][Trns_Ind][3Pl][3Pl]	kuuviit
kuuve[V][Trns_Ind][3Pl][3Sg]	kuuvaat
kuuve[V][Trns_Ind][3Sg][1Sg]	kuuvaanga
kuuve[V][Trns_Ind][3Sg][2Sg]	kuuvaaten
kuuve[V][Trns_Ind][3Sg][3Pl]	kuuvii
kuuve[V][Trns_Ind][3Sg][3Sg]	kuuvaa
laalighfike[V][Trns_Ind][1Sg][2Sg]	laalighfikamken
laalighfike[V][Trns_Ind][1Sg][3Pl]	laalighfikanka
laalighfike[V][Trns_Ind][1Sg][3Sg]	laalighfikaqa
laalighfike[V][Trns_Ind][2Sg][1Sg]	laalighfikaghpenga
laalighfike[V][Trns_Ind][2Sg][3Pl]	laalighfikaten
laalighfike[V][Trns_Ind][2Sg][3Sg]	laalighfikan
laalighfike[V][Trns_Ind][3Pl][3Pl]	laalighfikiit
laalighfike[V][Trns_Ind][3Pl][3Sg]	laalighfikaat
laalighfike[V][Trns_Ind][3Sg][1Sg]	laalighfikaanga
laalighfike[V][Trns_Ind][3Sg][2Sg]	laalighfikaaten
laalighfike[V][Trns_Ind][3Sg][3Pl]	laalighfikii
laalighfike[V][Trns_Ind][3Sg][3Sg]	laalighfikaa
liite[V][Trns_Ind][1Sg][2Sg]	liitamken
liite[V][Trns_Ind][1Sg][3Pl]	liitanka
liite[V][Trns_Ind][1Sg][3Sg]	liitaqa
liite[V][Trns_Ind][2Sg][1Sg]	liitaghpenga
liite[V][Trns_Ind][2Sg][3Pl]	liitaten
liite[V][Trns_Ind][2Sg][3Sg]	liitan
liite[V][Trns_Ind][3Pl][3Pl]	liitiit
liite[V][Trns_Ind][3Pl][3Sg]	liitaat
liite[V][Trns_Ind][3Sg][1Sg]	liitaanga
liite[V][Trns_Ind][3Sg][2Sg]	liitaaten
liite[V][Trns_Ind][3Sg][3Pl]	liitii
liite[V][Trns_Ind][3Sg][3Sg]	liitaa
lli[V][Trns_Ind][1Sg][2Sg]	lliimken
lli[V][Trns_Ind][1Sg][3Pl]	lliinka
lli[V][Trns_Ind][1Sg][3Sg]	lliiqa
lli[V][Trns_Ind][2Sg][1Sg]	lliighpenga
lli[V][Trns_Ind][2Sg][3Pl]	lliiten
lli[V][Trns_Ind][2Sg][3Sg]	lliin
lli[V][Trns_Ind][3Pl][3Pl]	lliit
lli[V][Trns_Ind][3Pl][3Sg]	lliit
lli[V][Trns_Ind][3Sg][1Sg]	lliinga
lli[V][Trns_Ind][3Sg][2Sg]	lliiten
lli[V][Trns_Ind][3Sg][3Pl]	llii
lli[V][Trns_Ind][3Sg][3Sg]	llii
nalluke[V][Trns_Ind][1Sg][2Sg]	nallukamken
nalluke[V][Trns_Ind][1Sg][3Pl]	nallukanka
nalluke[V][Trns_Ind][1Sg][3Sg]	nallukaqa
nalluke[V][Trns_Ind][2Sg][1Sg]	nallukaghpenga
nalluke[V][Trns_Ind][2Sg][3Pl]	nallukaten
nalluke[V][Trns_Ind][2Sg][3Sg]	nallukan
nalluke[V][Trns_Ind][3Pl][3Pl]	nallukiit
nalluke[V][Trns_Ind][3Pl][3Sg]	nallukaat
nalluke[V][Trns_Ind][3Sg][1Sg]	nallukaanga
nalluke[V][Trns_Ind][3Sg][2Sg]	nallukaaten
nalluke[V][Trns_Ind][3Sg][3Pl]	nallukii
nalluke[V][Trns_Ind][3Sg][3Sg]	nallukaa
piniqe[V][Trns_Ind][1Sg][2Sg]	piniqamken
piniqe[V][Trns_Ind][1Sg][3Pl]	piniqanka
piniqe[V][Trns_Ind][1Sg][3Sg]	piniqaqa
piniqe[V][Trns_Ind][2Sg][1Sg]	piniqaghpenga
piniqe[V][Trns_Ind][2Sg][3Pl]	piniqaten
piniqe[V][Trns_Ind][2Sg][3Sg]	piniqan
piniqe[V][Trns_Ind][3Pl][3Pl]	piniqiit
piniqe[V][Trns_Ind][3Pl][3Sg]	piniqaat
piniqe[V][Trns_Ind][3Sg][1Sg]	piniqaanga
piniqe[V][Trns_Ind][3Sg][2Sg]	piniqaaten
piniqe[V][Trns_Ind][3Sg][3Pl]	piniqii
piniqe[V][Trns_Ind][3Sg][3Sg]	piniqaa
qelpeghte[V][Trns_Ind][1Sg][2Sg]	qelpeghtamken
qelpeghte[V][Trns_Ind][1Sg][3Pl]	qelpeghtanka
qelpeghte[V][Trns_Ind][1Sg][3Sg]	qelpeghtaqa
qelpeghte[V][Trns_Ind][2Sg][1Sg]	qelpeghtaghpenga
qelpeghte[V][Trns_Ind][2Sg][3Pl]	qelpeghtaten
qelpeghte[V][Trns_Ind][2Sg][3Sg]	qelpeghtan
qelpeghte[V][Trns_Ind][3Pl][3Pl]	qelpeghtiit
qelpeghte[V][Trns_Ind][3Pl][3Sg]	qelpeghtaat
qelpeghte[V][Trns_Ind][3Sg][1Sg]	qelpeghtaanga
qelpeghte[V][Trns_Ind][3Sg][2Sg]	qelpeghtaaten
qelpeghte[V][Trns_Ind][3Sg][3Pl]	qelpeghtii
qelpeghte[V][Trns_Ind][3Sg][3Sg]	qelpeghtaa
qilug[V][Trns_Ind][1Sg][2Sg]	qilugamken
qilug[V][Trns_Ind][1Sg][3Pl]	qiluganka
qilug[V][Trns_Ind][1Sg][3Sg]	qilugaqa
qilug[V][Trns_Ind][2Sg][1Sg]	qilugaghpenga
qilug[V][Trns_Ind][2Sg][3Pl]	qilugaten
qilug[V][Trns_Ind][2Sg][3Sg]	qilugan
qilug[V][Trns_Ind][3Pl][3Pl]	qilugiit
qilug[V][Trns_Ind][3Pl][3Sg]	qilugaat
qilug[V][Trns_Ind][3Sg][1Sg]	qilugaanga
qilug[V][Trns_Ind][3Sg][2Sg]	qilugaaten
qilug[V][Trns_Ind][3Sg][3Pl]	qilugii
qilug[V][Trns_Ind][3Sg][3Sg]	qilugaa
tugu[V][Trns_Ind][1Sg][2Sg]	tugaamken
tugu[V][Trns_Ind][1Sg][3Pl]	tugaanka
tugu[V][Trns_Ind][1Sg][3Sg]	tugaaqa
tugu[V][Trns_Ind][2Sg][1Sg]	tugaaghpenga
tugu[V][Trns_Ind][2Sg][3Pl]	tugaaten
tugu[V][Trns_Ind][2Sg][3Sg]	tugaan
tugu[V][Trns_Ind][3Pl][3Pl]	tugiit
tugu[V][Trns_Ind][3Pl][3Sg]	tugaat
tugu[V][Trns_Ind][3Sg][1Sg]	tugaanga
tugu[V][Trns_Ind][3Sg][2Sg]	tugaaten
tugu[V][Trns_Ind][3Sg][3Pl]	tugii
tugu[V][Trns_Ind][3Sg][3Sg]	tugaa
tuqute[V][Trns_Ind][1Sg][2Sg]	tuqutamken
tuqute[V][Trns_Ind][1Sg][3Pl]	tuqutanka
tuqute[V][Trns_Ind][1Sg][3Sg]	tuqutaqa
tuqute[V][Trns_Ind][2Sg][1Sg]	tuqutaghpenga
tuqute[V][Trns_Ind][2Sg][3Pl]	tuqutaten
tuqute[V][Trns_Ind][2Sg][3Sg]	tuqutan
tuqute[V][Trns_Ind][3Pl][3Pl]	tuqutiit
tuqute[V][Trns_Ind][3Pl][3Sg]	tuqutaat
tuqute[V][Trns_Ind][3Sg][1Sg]	tuqutaanga
tuqute[V][Trns_Ind][3Sg][2Sg]	tuqutaaten
tuqute[V][Trns_Ind][3Sg][3Pl]	tuqutii
tuqute[V][Trns_Ind][3Sg][3Sg]	tuqutaa
umeg[V][Trns_Ind][1Sg][2Sg]	uumgamken
umeg[V][Trns_Ind][1Sg][3Pl]	uumganka
umeg[V][Trns_Ind][1Sg][3Sg]	uumgaqa
umeg[V][Trns_Ind][2Sg][1Sg]	uumgaghpenga
umeg[V][Trns_Ind][2Sg][3Pl]	uumgaten
umeg[V][Trns_Ind][2Sg][3Sg]	uumgan
umeg[V][Trns_Ind][3Pl][3Pl]	uumgiit
umeg[V][Trns_Ind][3Pl][3Sg]	uumgaat
umeg[V][Trns_Ind][3Sg][1Sg]	uumgaanga
umeg[V][Trns_Ind][3Sg][2Sg]	uumgaaten
umeg[V][Trns_Ind][3Sg][3Pl]	uumgii
umeg[V][Trns_Ind][3Sg][3Sg]	uumgaa
