Meteghllugllagenkuk Anipaghllagenkuk

meteghllugllagenkuk	meteghllug-–ghllag[N→N]-~sf-w:(e)nkuk[N→N][N][Abs][Unpd][Sg]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-––iqe[N→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~:(u)n[V→N]-igh[N→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[V→V]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-@₁~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-~:(u)te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
piniqutepigsalghiik	pi-~:(u)te[V→V]-@₁~fni[Cmpd_Vbl]-–qu[V→V]-te[V→V]-–pigte[V→V]-@₁~fyagh[V→V][V][Intr][Ptcp][3Du]
