Yughqutaam Ighnegha Kiighwyaaghtekaq

ighnegha	ighnegh[N][Abs][3SgPoss][SgPosd]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–li[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-te[V→V]-@₁~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→V][V][Intr][Ptcp][3Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Abs][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V]-@₁–lghii[V→N][N][Rel][Unpd][Du]
nulighqullghiik	ne-te[N→V]-@₁~:(u)n[V→N]-–ligh[N→V]-–ghqe[V→V]-~:(u)te[V→N]-te[N→V]-te[V→V][V][Intr][Ptcp][3Du]
