KILGAAN QIKMIGHAA

kilgaan	kilgaa[N][Abs][2SgPoss][SgPosd]
saaqlaataghta	sa-aq[V→N]-~–ke[N→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~laatagh[V→V]-te[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-@₁~flaatagh[V→V]-te[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~laatagh[V→V]-te[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-–ghte[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-(s)ta[V→N][N][Abs][Unpd][Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V][V][Intr][Intrg][3Sg]
saaqlaataghta	sa-agh[N→V]-@*@₂~sf–(g₂)k(a)e[V→N]-te[N→V]-te[V→V]-@₁~flaatagh[V→V]-te[V→V][V][Intr][Intrg][3Sg]
